remote_path,script_class,script_path,line,methods,confidence
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.modules.MainModule,3049,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Core,70,"Fire,Invoke",medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Core,71,"Fire,Invoke",medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV2,183,Fire,low
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV2,184,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV2,185,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV2,198,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV2,199,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV2,200,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV2,372,Fire,low
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV2,385,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV3,187,Fire,low
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV3,188,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV3,189,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV3,202,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV3,203,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV3,204,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV3,384,Fire,low
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Libraries.SerializationV3,397,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.SyncAPI.SyncModule,1036,Fire,low
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.SyncAPI.SyncModule,1037,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Decorate,85,Fire,low
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Decorate,163,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Decorate,171,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Decorate,180,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Decorate,183,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Decorate,337,"Fire,Invoke",low
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Decorate,337,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Decorate,344,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Decorate,345,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Decorate,351,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Lighting,477,Fire,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.NewPart,128,Fire,low
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Paint.PaintHistoryRecord,19,Invoke,medium
ReplicatedStorage.Color,ModuleScript,ReplicatedStorage.EXE6_STORAGE.utilities.tools.Building Tools.Tools.Weld,245,Invoke,low
ReplicatedStorage.Color,ModuleScript,ServerScriptService.Chat/Commands.Commands.Color,31,"FireClient,Fire",medium
ReplicatedStorage.Color,ModuleScript,ServerScriptService.Chat/Commands.Commands.Poop,24,"FireClient,Fire",medium
ReplicatedStorage.Color,ModuleScript,ServerScriptService.Chat/Commands.Commands.Uncolor,4,"FireClient,Fire",medium
ReplicatedStorage.Color,Script,ServerScriptService.Chat/Commands.CommandsHandler,112,"FireClient,FireAllClients,Fire",medium
ReplicatedStorage.Color,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6Nonmember.interface_handler,58,OnClientEvent,medium
ReplicatedStorage.Color,ModuleScript,ServerScriptService.EXE6_SERVER.FastLoadServer.MainModule,3064,Fire,medium
ReplicatedStorage.Color,Script,ServerScriptService.Misc.Leaderstats,750,OnServerEvent,low
ReplicatedStorage.Color,Script,ServerScriptService.Misc.Leaderstats,751,OnServerEvent,medium
ReplicatedStorage.Color,LocalScript,StarterGui.ChatTags,20,"InvokeServer,Invoke",medium
ReplicatedStorage.Color,LocalScript,StarterGui.ChatTags,38,"InvokeServer,Invoke",medium
ReplicatedStorage.Color,LocalScript,StarterGui.JoinEvent.LocalScript,32,"InvokeServer,OnClientInvoke,Invoke",medium
ReplicatedStorage.Color,LocalScript,StarterGui.JoinEvent.LocalScript,35,"OnClientInvoke,Invoke",high
ReplicatedStorage.Color,LocalScript,StarterGui.Orbs.OrbShopBeta.LocalScript,24,"InvokeServer,Invoke",low
ReplicatedStorage.Color,LocalScript,StarterGui.RevertGUI.RevertImage.revert,26,OnClientEvent,medium
ReplicatedStorage.Color,LocalScript,StarterGui.RevertGUI.RevertImage.revert,27,OnClientEvent,medium
ReplicatedStorage.Color,LocalScript,StarterGui.RevertGUI.RevertImage.revert,89,"InvokeServer,Invoke",medium
ReplicatedStorage.Color,LocalScript,StarterGui.Shop.LocalScript,236,"FireServer,Fire",low
ReplicatedStorage.Color,LocalScript,StarterGui.Shop.LocalScript,258,"FireServer,Fire",medium
ReplicatedStorage.Color,LocalScript,StarterGui.Shop.LocalScript,260,"FireServer,Fire",medium
ReplicatedStorage.Color,LocalScript,StarterGui.Shop.LocalScript,263,"FireServer,Fire",medium
ReplicatedStorage.Color,LocalScript,StarterGui.Shop2.0.LocalScript,236,"FireServer,Fire",low
ReplicatedStorage.Color,LocalScript,StarterGui.Shop2.0.LocalScript,258,"FireServer,Fire",medium
ReplicatedStorage.Color,LocalScript,StarterGui.Shop2.0.LocalScript,260,"FireServer,Fire",medium
ReplicatedStorage.Color,LocalScript,StarterGui.Shop2.0.LocalScript,263,"FireServer,Fire",medium
ReplicatedStorage.Color,LocalScript,StarterGui.Size.Frame.ResizeSelection,124,"OnClientInvoke,Invoke",medium
ReplicatedStorage.Color,LocalScript,StarterPlayer.StarterPlayerScripts.ReceiveMessage,239,OnClientEvent,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,ModuleScript,ReplicatedStorage.EXE6_STORAGE.modules.Alerts,230,"InvokeServer,FireClient,Fire,Invoke",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,ModuleScript,ReplicatedStorage.EXE6_STORAGE.modules.Alerts,239,"InvokeServer,Invoke",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,ModuleScript,ReplicatedStorage.EXE6_STORAGE.modules.Alerts,240,"InvokeServer,Invoke",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,ModuleScript,ReplicatedStorage.EXE6_STORAGE.modules.MainModule,1665,Fire,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,ModuleScript,ReplicatedStorage.EXE6_STORAGE.modules.MainModule,1673,Fire,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,ModuleScript,ReplicatedStorage.EXE6_STORAGE.modules.MainModule,1681,Fire,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,ModuleScript,ServerScriptService.EXE6_SERVER.Components.EXE6.CommandLine.CommandLineManager.DefaultCommandMap,657,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.interface_handler,264,OnClientEvent,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.main_frame.content.screen.screen_handler,2154,"InvokeServer,OnClientEvent,Invoke",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.main_frame.content.screen.screen_handler,2169,"InvokeServer,OnClientEvent,Invoke",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,41,"InvokeServer,Invoke",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,1349,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,1350,"FireServer,InvokeServer,Fire,Invoke",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,1352,"FireServer,InvokeServer,Fire,Invoke",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,1365,"FireServer,InvokeServer,Fire,Invoke",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6Nonmember.interface_handler,69,OnClientEvent,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,ModuleScript,ServerScriptService.EXE6_SERVER.FastLoadServer.MainModule,1680,Fire,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,ModuleScript,ServerScriptService.EXE6_SERVER.FastLoadServer.MainModule,1688,Fire,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,ModuleScript,ServerScriptService.EXE6_SERVER.FastLoadServer.MainModule,1696,Fire,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,Script,ServerScriptService.EXE6_SERVER.Server,898,OnServerEvent,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,Script,ServerScriptService.EXE6_SERVER.Server,920,OnServerEvent,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,Script,ServerScriptService.EXE6_SERVER.Server,984,"FireAllClients,Fire",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,Script,ServerScriptService.EXE6_SERVER.Server,992,"FireAllClients,Fire",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,Script,ServerScriptService.EXE6_SERVER.Server,1006,"OnServerEvent,FireAllClients,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Announcement,Script,ServerScriptService.EXE6_SERVER.Server,1139,"FireAllClients,Fire",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ReplicatedStorage.Configs.NexusVRCharacterModelLoader.MainModule.NexusVRCharacterModel.Character,140,"FireServer,Fire",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ReplicatedStorage.EXE6_STORAGE.modules.MainModule,1332,Fire,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ReplicatedStorage.EXE6_STORAGE.modules.MainModule,1822,"InvokeServer,Fire,Invoke",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ReplicatedStorage.EXE6_STORAGE.modules.MainModule,1867,Fire,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ReplicatedStorage.SatchelLoader.Satchel.Packages.satchel,2085,Fire,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ReplicatedStorage.SatchelLoader.Satchel.Packages.satchel,2086,Fire,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ReplicatedStorage.SatchelLoader.Satchel.Packages.satchel,2087,Fire,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.deafen,16,"FireClient,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.deafen,17,"FireClient,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.deafen,28,"FireClient,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.deafen,29,"FireClient,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Debug,83,"FireClient,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Debug,84,"FireClient,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Debug,92,"FireClient,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Fire,9,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Fire,10,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Hammer,139,OnServerEvent,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Horse,42,"FireClient,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Horse,43,"FireClient,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Morph,78,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Morph,84,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Morph,85,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Morph,86,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Morph,87,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Morph,89,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Morph,90,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Morph,93,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Morph,96,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Poop,44,"FireClient,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Poop,48,"FireClient,Fire",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Poop,49,"FireClient,Fire",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.R6,38,Fire,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.R6,88,"FireClient,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Spectate,7,"FireClient,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Spectate,8,"FireClient,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Unfire,7,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Unfire,8,Fire,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.Chat/Commands.Commands.Unspectate,5,"FireClient,Fire",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Chat/Commands.LineServer,6,OnServerEvent,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Chat/Commands.LineServer,48,OnServerEvent,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Chat/Commands.LineServer,56,OnServerEvent,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Chat/Commands.LineServer,68,OnServerEvent,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Chat/Commands.LineServer,87,OnServerEvent,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.Components.EXE6.CommandLine.CommandLineManager.DefaultCommandMap,179,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.Components.EXE6.CommandLine.CommandLineManager.DefaultCommandMap,210,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.Components.EXE6.CommandLine.CommandLineManager.DefaultCommandMap,231,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.Components.EXE6.CommandLine.CommandLineManager.DefaultCommandMap,258,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.Components.EXE6.CommandLine.CommandLineManager.DefaultCommandMap,289,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.Components.EXE6.CommandLine.CommandLineManager.DefaultCommandMap,320,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.Components.EXE6.CommandLine.CommandLineManager.DefaultCommandMap,360,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.Components.EXE6.CommandLine.CommandLineManager.DefaultCommandMap,441,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.Components.EXE6.CommandLine.CommandLineManager.DefaultCommandMap,472,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.Components.EXE6.CommandLine.CommandLineManager.DefaultCommandMap,493,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.main_frame.content.screen.screen_handler,486,"FireServer,InvokeServer,Fire,Invoke",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.main_frame.content.screen.screen_handler,488,"FireServer,InvokeServer,Fire,Invoke",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,39,"InvokeServer,Invoke",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,333,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,337,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,341,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,345,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,349,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,353,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,362,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,366,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,370,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,374,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,381,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,1057,"InvokeServer,Invoke",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,ServerScriptService.EXE6_SERVER.Components.EXE6.modal_frame.modal_handler,1071,"InvokeServer,Invoke",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.EXE6_SERVER.CustomCommands,77,OnServerEvent,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.FastLoadServer.MainModule,1347,Fire,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.FastLoadServer.MainModule,1837,"InvokeServer,Fire,Invoke",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,ModuleScript,ServerScriptService.EXE6_SERVER.FastLoadServer.MainModule,1882,Fire,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.EXE6_SERVER.Server,26,"OnServerInvoke,Invoke",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.EXE6_SERVER.Server,633,"OnServerEvent,FireClient,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Misc.Leaderstats,418,"FireClient,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Misc.Leaderstats,424,"FireClient,Fire",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Misc.Leaderstats,425,"FireClient,Fire",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Misc.Leaderstats,426,"FireClient,Fire",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Misc.Leaderstats,576,OnServerEvent,low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Misc.Leaderstats,577,OnServerEvent,high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Misc.Leaderstats,697,"FireAllClients,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Misc.Leaderstats,709,"FireAllClients,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Misc.TimedRewards,51,"OnServerInvoke,Invoke",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,Script,ServerScriptService.Misc.TimedRewards,52,"OnServerInvoke,Invoke",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterGui.Tutorial.LocalScript,36,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterGui.Tutorial.LocalScript,41,"FireServer,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterGui.Tutorial.LocalScript,41,"FireServer,Fire,Invoke",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterGui.Tutorial.LocalScript,88,"FireServer,InvokeServer,Fire,Invoke",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterGui.Tutorial.LocalScript,89,"FireServer,InvokeServer,Fire,Invoke",medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterPlayer.StarterPlayerScripts.Animation Test,83,"FireServer,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterPlayer.StarterPlayerScripts.Control,7,OnClientEvent,medium
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterPlayer.StarterPlayerScripts.Control,36,"FireServer,OnClientEvent,Fire",low
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterPlayer.StarterPlayerScripts.Control,39,"FireServer,OnClientEvent,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterPlayer.StarterPlayerScripts.Control,40,"FireServer,OnClientEvent,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterPlayer.StarterPlayerScripts.Control,45,"FireServer,OnClientEvent,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterPlayer.StarterPlayerScripts.Control,46,"FireServer,OnClientEvent,Fire",high
ReplicatedStorage.EXE6_STORAGE.events.Activities.Character,LocalScript,StarterPlayer.StarterPlayerScripts.Control,52,"FireServer,OnClientEvent,Fire",high
